	Col_flg22_10h_1	stp1/4/13_flg22_10h_1	fls2_flg22_10h_1	Col_flg22_10h_2	stp1/4/13_flg22_10h_2	fls2_flg22_10h_2	Col_flg22_10h_3	stp1/4/13_flg22_10h_3	fls2_flg22_10h_3	Col_Suc_0mM_24h_1	Col_2DG_1mM_24h_1	Col_Suc_25mM_24h_1	Col_Suc_0mM_24h_2	Col_2DG_1mM_24h_2	Col_Suc_25mM_24h_2	Col_Suc_0mM_24h_3	Col_2DG_1mM_24h_3	Col_Suc_25mM_24h_3
AT1G01010	212	81	73	191	116	92	190	154	70	139	3476	325	84	2741	182	73	3127	170
AT1G01020	289	315	304	247	203	195	216	225	333	336	141	198	227	141	187	333	103	151
AT1G03987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
AT1G01030	111	66	91	88	94	122	77	80	123	199	71	188	117	67	56	59	49	150
AT1G01040	257	270	214	241	152	123	202	148	200	324	149	202	317	262	159	280	240	203
AT1G03993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01046	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0
AT1G01050	325	351	292	331	343	354	249	290	387	531	86	498	589	72	721	571	147	449
AT1G03997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01060	129	23	41	42	67	52	66	35	119	6103	5023	2284	8846	4290	3014	8428	4170	1933
AT1G01070	59	48	12	42	39	38	43	37	44	20	16	39	35	7	28	38	0	42
AT1G04003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01080	140	237	338	159	166	279	138	181	273	141	30	173	209	66	157	225	43	136
AT1G01090	825	1230	1598	916	904	1721	797	947	1946	1519	650	1235	1858	590	1284	1930	752	1027
AT1G01100	8563	8979	18234	8415	7846	17251	8840	6884	20709	8126	2875	15642	10314	2109	17044	9448	2361	11637
AT1G01110	14	46	32	40	10	23	16	20	16	18	11	25	36	2	17	27	12	22
AT1G01120	336	203	175	242	186	228	230	94	285	1116	167	522	218	238	371	942	359	443
AT1G01130	22	20	85	35	20	94	25	39	85	62	1	109	22	21	99	24	2	86
AT1G01140	125	196	203	109	175	174	111	141	167	777	312	405	187	424	351	482	423	326
AT1G01150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01160	388	578	712	425	525	469	375	359	632	604	589	542	572	564	623	523	411	433
AT1G04007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01170	390	913	516	495	699	514	336	591	429	2230	251	801	2107	190	937	2163	298	853
AT1G04013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01180	57	98	23	60	72	32	77	107	12	134	148	34	160	109	103	108	82	30
AT1G01183	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01190	73	14	42	46	30	106	53	18	63	5	0	15	33	0	18	52	0	13
AT1G01200	5	0	8	5	7	6	5	0	29	0	0	9	7	0	12	0	0	20
AT1G01210	87	81	177	79	68	152	74	44	278	104	80	145	82	67	114	121	98	71
AT1G04017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01220	95	129	86	111	132	84	148	105	100	48	25	60	43	8	62	64	0	68
AT1G04023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01225	18	10	14	18	8	9	28	17	16	3	0	2	5	9	9	1	15	12
AT1G01230	314	194	95	199	200	118	232	206	130	147	78	163	95	208	157	76	120	132
AT1G01240	209	474	65	212	454	46	296	408	66	414	723	94	446	686	125	240	540	48
AT1G01250	1	6	8	10	11	4	0	5	5	11	4	1	22	0	0	36	0	14
AT1G01260	59	99	55	44	42	90	44	46	68	190	135	90	58	115	62	132	74	51
AT1G01270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01280	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
AT1G01290	166	147	104	95	91	91	119	93	136	95	108	142	145	98	125	152	60	118
AT1G01300	308	353	829	416	358	1015	366	349	1194	262	1	484	306	32	509	532	2	330
AT1G01305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01310	1	2	2	0	5	0	0	0	9	0	0	3	3	0	9	0	0	5
AT1G01320	727	1748	2063	1010	1669	1724	762	1090	1200	3517	600	1290	2092	482	822	4066	647	836
AT1G01335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01340	248	249	38	199	188	27	238	193	50	108	279	85	69	298	73	126	212	71
AT1G01350	272	266	353	280	211	309	303	231	340	486	268	437	358	195	329	188	201	333
AT1G01355	4	0	0	0	0	0	0	0	0	1	0	0	0	0	2	5	0	0
AT1G01360	59	68	40	36	39	35	29	31	25	131	125	24	45	73	45	165	84	48
AT1G01370	31	34	58	57	34	65	27	42	71	6	5	45	11	5	30	14	22	36
AT1G01380	7	1	17	5	2	30	20	5	26	14	27	31	13	0	63	12	0	22
AT1G01390	0	4	6	4	6	0	4	3	4	7	0	1	0	0	1	0	0	8
AT1G01400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01420	36	71	237	43	70	178	49	83	147	328	27	296	332	7	127	369	58	288
AT1G01430	103	219	291	155	221	318	111	137	357	453	62	215	614	11	206	604	15	191
AT1G01440	243	185	150	231	244	148	182	205	139	324	564	154	223	389	178	305	368	75
AT1G01448	27	36	36	33	34	12	18	37	34	30	22	21	82	34	33	84	34	26
AT1G01450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01453	0	0	13	0	0	15	0	0	10	0	0	1	0	0	2	5	0	4
AT1G01460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01470	872	1001	483	1067	1065	480	1030	1139	609	1203	2495	1309	307	2620	536	885	2417	744
AT1G01480	884	605	11	698	610	10	683	447	38	64	625	66	25	705	51	26	603	19
AT1G01490	3193	3980	4004	3533	3909	2637	3236	3643	2409	8275	5355	5643	9398	6890	6131	8645	6444	4928
AT1G01500	188	152	151	156	225	178	221	152	207	43	71	121	39	71	79	58	130	55
AT1G01510	369	516	405	364	366	384	469	402	515	390	167	324	527	120	421	354	88	330
AT1G01520	5	3	1	0	0	2	0	0	5	132	9	61	207	0	33	445	26	55
AT1G01530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01540	146	166	207	171	108	148	158	152	250	438	107	259	479	139	417	443	26	286
AT1G01550	1334	1437	772	1170	1081	667	1197	1005	901	1733	1572	1336	1383	1506	936	1218	1359	712
AT1G01560	353	232	9	320	156	32	329	187	15	149	1696	93	15	1040	164	6	1270	30
AT1G01570	9	1	19	19	5	6	7	21	21	19	25	5	1	31	4	8	0	16
AT1G01580	5	0	12	8	6	13	7	7	21	29	0	8	19	0	9	115	0	3
AT1G01590	0	0	0	0	1	0	0	0	17	1	0	0	0	0	0	1	2	0
AT1G01600	14	8	85	30	4	112	17	12	88	32	68	132	37	67	45	18	61	147
AT1G01610	380	421	1104	619	494	1048	477	504	1245	1124	527	691	1008	321	763	1486	407	525
